Feature,Coefficient,Abs_Importance
SeniorCitizen,-0.028607532617886483,0.028607532617886483
tenure,-0.37263276201120943,0.37263276201120943
InternetCharges,0.07213178843559614,0.07213178843559614
MonthlyCharges,-0.052811118665364365,0.052811118665364365
TotalCharges,-0.16567656064048403,0.16567656064048403
gender_Female,0.050129299270165587,0.050129299270165587
gender_Male,-0.07555344818762372,0.07555344818762372
Partner_No,0.051334408252906825,0.051334408252906825
Partner_Yes,-0.0767585571704158,0.0767585571704158
Dependents_No,-0.07741218367658256,0.07741218367658256
Dependents_Yes,0.05198803475912212,0.05198803475912212
PhoneService_No,-0.09845816277065149,0.09845816277065149
PhoneService_Yes,0.07303401385318417,0.07303401385318417
MultipleLines_No,0.001203424679894684,0.001203424679894684
MultipleLines_No phone service,0.1429467154603525,0.1429467154603525
MultipleLines_Yes,-0.1695742890577029,0.1695742890577029
InternetService_DSL,-0.08664965410497871,0.08664965410497871
InternetService_Fiber optic,0.0899763410697189,0.0899763410697189
InternetService_No,-0.028750835882222693,0.028750835882222693
OnlineSecurity_No,-0.02206835345427099,0.02206835345427099
OnlineSecurity_No internet service,0.012816669230582622,0.012816669230582622
OnlineSecurity_Yes,-0.016172464693822948,0.016172464693822948
OnlineBackup_No,0.08179052514621389,0.08179052514621389
OnlineBackup_No internet service,0.07050253578524576,0.07050253578524576
OnlineBackup_Yes,-0.17771720984904607,0.17771720984904607
DeviceProtection_No,0.060750084932910134,0.060750084932910134
DeviceProtection_No internet service,-0.05616357832723747,0.05616357832723747
DeviceProtection_Yes,-0.030010655523229735,0.030010655523229735
TechSupport_No,0.23982652687063194,0.23982652687063194
TechSupport_No internet service,-0.1643865845114254,0.1643865845114254
TechSupport_Yes,-0.10086409127675018,0.10086409127675018
StreamingTV_No,-0.007698232615489059,0.007698232615489059
StreamingTV_No internet service,-0.10181472760481985,0.10181472760481985
StreamingTV_Yes,0.08408881130272555,0.08408881130272555
StreamingMovies_No,-0.02530607455072536,0.02530607455072536
StreamingMovies_No internet service,0.011243981499872987,0.011243981499872987
StreamingMovies_Yes,-0.011362055866687976,0.011362055866687976
Contract_Month-to-month,0.6787536815314092,0.6787536815314092
Contract_One year,0.1484138558916555,0.1484138558916555
Contract_Two year,-0.8525916863406036,0.8525916863406036
